证券简称,id,year,YBR,x2,x4,OCFDR,ROE,CLTLR,CATAR,DER,DR,YoO,RDR,TAT,IFR,GIC
深纺织A,45,2021,0.061713804,3.9666,3.1037,0.0018,1.3567,52.0681,44.4784,0.386891433,21.5358,39,0.03111919,0.4439,0.015811892,0.97719372
深纺织A,45,2020,0.068951951,4.5856,3.7789,0.5661,0.7716,71.7474,49.1388,0.248109543,14.9354,38,0.041795443,0.4717,0.009921983,1.696210453
深纺织A,45,2018,0.13649394,5.7604,5.207,-0.0424,2.2282,74.0211,68.3662,0.280598333,16.0336,36,0,0.3549,-0.006985206,1.231468414
深天马A,50,2021,0.205592904,0.8503,0.6499,0.167,4.8926,43.2933,20.012,1.19128524,54.3647,38,0.06684297,0.4206,0.058727961,0.965351494
深天马A,50,2020,0.20696351,0.7054,0.5418,0.1229,3.1468,52.676,21.9962,1.450685524,59.1951,37,0.06422719,0.4826,0.046582704,1.047400655
深天马A,50,2019,0.231099278,0.7662,0.6016,0.1048,4.5729,55.755,24.2173,1.30869494,56.6855,36,0.128644202,0.6447,0.042109265,2.063268007
深天马A,50,2018,0.189657879,1.104,0.9469,0.1266,5.718,67.1985,37.9743,1.048544118,51.1848,35,0,0.546,0.027594597,1.305096244
中国长城,66,2021,0.26429528,1.5842,1.1059,0.0092,10.7545,64.452,67.4375,2.029491094,66.0481,24,0.092403597,0.5872,0.141389774,1.332199839
中国长城,66,2020,0.298198286,1.4594,1.0805,0.0084,15.3409,73.8242,64.7299,1.569468957,60.0809,23,0.084833414,0.5757,0.146808579,1.083351062
中国长城,66,2019,0.267905119,1.3195,1.0428,0.0048,15.2863,76.6775,59.1274,1.498569288,58.4406,22,0.067816269,0.6416,0.111549359,1.052871903
中国长城,66,2018,0.218446941,1.476,1.1724,-0.0527,12.304,70.2417,52.1247,1.145132333,50.2777,21,0.007781668,0.3392,0.114346222,0.137524826
TCL科技,100,2021,0.169034424,0.925,0.8006,0.0995,13.6661,42.3092,25.4697,4.921197984,65.0817,39,0.058756702,0.3635,0.045377358,1.023276127
TCL科技,100,2020,0.239679274,1.1184,0.9865,0.1138,8.6386,42.6476,29.2126,3.352879983,61.2465,38,0.029964738,0.4199,0.043097298,0.661018311
TCL科技,100,2019,0.2206847,1.0187,0.7664,0.0795,11.5144,59.7726,41.6612,4.325135808,68.4216,37,0.041922294,0.6427,0.060668992,1.015977381
TCL科技,100,2018,0.26231385,1.1086,0.9294,0.0868,10.1478,68.0613,49.9681,3.568454621,66.2227,36,0,0.7268,0.044498405,1.047935514
常山北明,158,2021,0.226598011,1.4311,1.0444,0.1137,1.6986,70.5776,60.0617,1.472372189,59.4665,23,0.019662448,0.6804,0.09171075,1.046278477
